target,crim,chas,zn,nox,indus,black,rad,ptratio,lstat,rm,dis,tax,age
11.3,9.18702,0,0.0,0.7,18.1,396.9,24,20.2,23.6,5.5360000000000005,1.5804,666,100.0
12.3,7.9924800000000005,0,0.0,0.7,18.1,396.9,24,20.2,24.56,5.52,1.5331,666,100.0
8.8,20.0849,0,0.0,0.7,18.1,285.83,24,20.2,30.63,4.368,1.4395,666,91.2
10.5,24.3938,0,0.0,0.7,18.1,396.9,24,20.2,28.28,4.652,1.4672,666,100.0
7.4,22.5971,0,0.0,0.7,18.1,396.9,24,20.2,31.99,5.0,1.5184,666,89.5
11.5,8.15174,0,0.0,0.7,18.1,396.9,24,20.2,20.85,5.39,1.7281,666,98.9
23.2,5.29305,0,0.0,0.7,18.1,378.38,24,20.2,18.76,6.051,2.1678,666,82.5
9.7,11.5779,0,0.0,0.7,18.1,396.9,24,20.2,25.68,5.0360000000000005,1.77,666,97.0
12.7,13.3598,0,0.0,0.693,18.1,396.9,24,20.2,16.35,5.8870000000000005,1.7821,666,94.7
12.5,5.87205,0,0.0,0.693,18.1,396.9,24,20.2,19.37,6.405,1.6768,666,96.0
5.0,38.3518,0,0.0,0.693,18.1,396.9,24,20.2,30.59,5.452999999999999,1.4896,666,100.0
5.6,25.0461,0,0.0,0.693,18.1,396.9,24,20.2,26.77,5.987,1.5888,666,100.0
7.2,14.2362,0,0.0,0.693,18.1,396.9,24,20.2,20.32,6.343,1.5741,666,100.0
8.3,24.8017,0,0.0,0.693,18.1,396.9,24,20.2,19.77,5.349,1.7028,666,96.0
27.9,11.9511,0,0.0,0.659,18.1,332.09,24,20.2,12.13,5.608,1.2852,666,100.0
17.2,7.40389,0,0.0,0.597,18.1,314.64,24,20.2,26.4,5.617000000000001,1.4547,666,97.9
16.3,28.6558,0,0.0,0.597,18.1,210.97,24,20.2,20.08,5.155,1.5894,666,100.0
7.0,45.7461,0,0.0,0.693,18.1,88.27,24,20.2,36.98,4.519,1.6582,666,100.0
7.2,18.0846,0,0.0,0.679,18.1,27.25,24,20.2,29.05,6.434,1.8347,666,100.0
10.4,25.9406,0,0.0,0.679,18.1,127.36,24,20.2,26.64,5.303999999999999,1.6475,666,89.1
8.8,73.5341,0,0.0,0.679,18.1,16.45,24,20.2,20.62,5.957000000000001,1.8026,666,100.0
8.4,11.8123,0,0.0,0.718,18.1,48.45,24,20.2,22.74,6.824,1.794,666,76.5
11.7,8.792119999999999,0,0.0,0.584,18.1,3.65,24,20.2,17.16,5.565,2.0635,666,70.6
8.3,15.8603,0,0.0,0.679,18.1,7.68,24,20.2,24.39,5.896,1.9096,666,95.4
10.9,37.6619,0,0.0,0.679,18.1,18.82,24,20.2,14.52,6.202000000000001,1.8629,666,78.7
11.0,7.36711,0,0.0,0.679,18.1,96.73,24,20.2,21.52,6.193,1.9356,666,78.1
9.5,9.33889,0,0.0,0.679,18.1,60.72,24,20.2,24.08,6.38,1.9682,666,95.6
14.1,10.0623,0,0.0,0.584,18.1,81.33,24,20.2,19.69,6.832999999999999,2.0882,666,94.3
16.1,6.44405,0,0.0,0.584,18.1,97.95,24,20.2,12.03,6.425,2.2004,666,74.8
14.3,5.5810699999999995,0,0.0,0.713,18.1,100.19,24,20.2,16.22,6.436,2.3158,666,87.9
11.7,13.9134,0,0.0,0.713,18.1,100.63,24,20.2,15.17,6.207999999999999,2.2222,666,95.0
8.7,15.1772,0,0.0,0.74,18.1,9.32,24,20.2,26.45,6.152,1.9142,666,100.0
12.8,9.39063,0,0.0,0.74,18.1,396.9,24,20.2,22.88,5.627000000000001,1.8172,666,93.9
10.5,22.0511,0,0.0,0.74,18.1,391.45,24,20.2,22.11,5.818,1.8662,666,92.4
17.1,9.72418,0,0.0,0.74,18.1,385.96,24,20.2,19.52,6.406000000000001,2.0651,666,97.2
18.4,5.66637,0,0.0,0.74,18.1,395.69,24,20.2,16.59,6.218999999999999,2.0048,666,100.0
15.4,9.96654,0,0.0,0.74,18.1,386.73,24,20.2,18.85,6.485,1.9784,666,100.0
10.8,12.8023,0,0.0,0.74,18.1,240.52,24,20.2,23.79,5.854,1.8956,666,96.6
11.8,10.6718,0,0.0,0.74,18.1,43.06,24,20.2,23.98,6.459,1.9879,666,94.8
12.6,9.92485,0,0.0,0.74,18.1,388.52,24,20.2,16.44,6.251,2.198,666,96.6
14.1,9.329089999999999,0,0.0,0.713,18.1,396.9,24,20.2,18.13,6.185,2.2616,666,98.7
15.2,5.44114,0,0.0,0.713,18.1,355.29,24,20.2,17.73,6.655,2.3552,666,98.2
16.1,5.09017,0,0.0,0.713,18.1,385.09,24,20.2,17.27,6.297000000000001,2.3682,666,91.8
17.8,8.24809,0,0.0,0.713,18.1,375.87,24,20.2,16.74,7.393,2.4527,666,99.3
14.1,4.75237,0,0.0,0.713,18.1,50.92,24,20.2,18.13,6.525,2.4358,666,86.5
13.5,8.20058,0,0.0,0.713,18.1,3.5,24,20.2,16.94,5.936,2.7792,666,80.3
14.9,7.75223,0,0.0,0.713,18.1,272.21,24,20.2,16.23,6.301,2.7831,666,83.7
20.0,6.80117,0,0.0,0.713,18.1,396.9,24,20.2,14.7,6.081,2.7175,666,84.4
16.4,4.812130000000001,0,0.0,0.713,18.1,255.23,24,20.2,16.42,6.7010000000000005,2.5975,666,90.0
17.7,3.69311,0,0.0,0.713,18.1,391.43,24,20.2,14.65,6.376,2.5671,666,88.4
19.5,6.65492,0,0.0,0.713,18.1,396.9,24,20.2,13.99,6.317,2.7344,666,83.0
20.2,5.82115,0,0.0,0.713,18.1,393.82,24,20.2,10.29,6.513,2.8016,666,89.9
21.4,7.83932,0,0.0,0.655,18.1,396.9,24,20.2,13.22,6.209,2.9634,666,65.4
19.9,3.1636,0,0.0,0.655,18.1,334.4,24,20.2,14.13,5.7589999999999995,3.0665,666,48.2
19.0,3.7749800000000002,0,0.0,0.655,18.1,22.01,24,20.2,17.15,5.952000000000001,2.8715,666,84.7
19.1,4.422280000000001,0,0.0,0.584,18.1,331.29,24,20.2,21.32,6.002999999999999,2.5403,666,94.5
19.1,15.5757,0,0.0,0.58,18.1,368.74,24,20.2,18.13,5.926,2.9084,666,71.0
20.1,13.0751,0,0.0,0.58,18.1,396.9,24,20.2,14.76,5.712999999999999,2.8237,666,56.7
19.6,4.03841,0,0.0,0.532,18.1,395.33,24,20.2,12.87,6.229,3.0993,666,90.7
23.2,3.56868,0,0.0,0.58,18.1,393.37,24,20.2,14.36,6.437,2.8965,666,75.0
13.8,8.05579,0,0.0,0.584,18.1,352.58,24,20.2,18.14,5.4270000000000005,2.4298,666,95.4
16.7,4.87141,0,0.0,0.614,18.1,396.21,24,20.2,18.68,6.484,2.3053,666,93.6
12.0,15.0234,0,0.0,0.614,18.1,349.48,24,20.2,24.91,5.303999999999999,2.1007,666,97.3
14.6,10.232999999999999,0,0.0,0.614,18.1,379.7,24,20.2,18.03,6.185,2.1705,666,96.7
21.4,14.3337,0,0.0,0.614,18.1,383.32,24,20.2,13.11,6.229,1.9512,666,88.0
23.0,5.8240099999999995,0,0.0,0.532,18.1,396.9,24,20.2,10.74,6.242000000000001,3.4242,666,64.7
23.7,5.7081800000000005,0,0.0,0.532,18.1,393.07,24,20.2,7.74,6.75,3.3317,666,74.9
21.8,2.81838,0,0.0,0.532,18.1,392.92,24,20.2,10.42,5.7620000000000005,4.0983,666,40.3
20.6,2.37857,0,0.0,0.583,18.1,370.73,24,20.2,13.34,5.871,3.7239999999999998,666,41.9
19.1,5.69175,0,0.0,0.583,18.1,392.68,24,20.2,14.98,6.114,3.5459,666,79.8
20.6,4.8356699999999995,0,0.0,0.583,18.1,388.22,24,20.2,11.45,5.905,3.1523,666,53.2
15.2,0.15086,0,0.0,0.609,27.74,395.09,4,20.1,18.06,5.454,1.8209,711,92.7
8.1,0.20745999999999998,0,0.0,0.609,27.74,318.43,4,20.1,29.68,5.093,1.8226,711,98.0
13.6,0.10574000000000001,0,0.0,0.609,27.74,390.11,4,20.1,18.07,5.983,1.8681,711,98.8
20.1,0.11132,0,0.0,0.609,27.74,396.9,4,20.1,13.35,5.983,2.1099,711,83.5
21.8,0.17331,0,0.0,0.585,9.69,396.9,6,19.2,12.01,5.707000000000001,2.3817,391,54.0
18.3,0.26838,0,0.0,0.585,9.69,396.9,6,19.2,14.1,5.794,2.8927,391,70.6
17.5,0.17783,0,0.0,0.585,9.69,395.77,6,19.2,15.1,5.569,2.3999,391,73.5
22.4,0.06262999999999999,0,0.0,0.573,11.93,391.99,1,21.0,9.67,6.593,2.4786,273,69.1
20.6,0.04527,0,0.0,0.573,11.93,396.9,1,21.0,9.08,6.12,2.2875,273,76.7
23.9,0.06076,0,0.0,0.573,11.93,396.9,1,21.0,5.64,6.976,2.1675,273,91.0
11.9,0.04741,0,0.0,0.573,11.93,396.9,1,21.0,7.88,6.03,2.505,273,80.8
